Date,Open,High,Low,Close,Change (Pips),Change (%)
5/18/2018 0:00,110.746,111.082,110.608,110.764,1.8,0.02%
5/21/2018 0:00,110.869,111.394,110.82,111.042,17.3,0.16%
5/22/2018 0:00,111.036,111.187,110.798,110.898,-13.8,-0.12%
5/23/2018 0:00,110.891,110.919,109.556,110.081,-81,-0.74%
5/24/2018 0:00,110.066,110.087,108.951,109.245,-82.1,-0.75%
5/25/2018 0:00,109.24,109.743,109.058,109.443,20.3,0.19%
5/29/2018 0:00,109.399,109.468,108.114,108.769,-63,-0.58%
5/30/2018 0:00,108.756,109.076,108.354,108.903,14.7,0.13%
5/31/2018 0:00,108.904,109.004,108.386,108.809,-9.5,-0.09%
6/1/2018 0:00,108.801,109.731,108.719,109.504,70.3,0.64%
6/4/2018 0:00,109.448,109.852,109.369,109.814,36.6,0.33%
6/5/2018 0:00,109.811,110.003,109.47,109.792,-1.9,-0.02%
6/6/2018 0:00,109.779,110.267,109.777,110.188,40.9,0.37%
6/7/2018 0:00,110.174,110.219,109.473,109.696,-47.8,-0.44%
6/8/2018 0:00,109.69,109.853,109.199,109.538,-15.2,-0.14%
6/11/2018 0:00,109.285,110.115,109.277,110.03,74.5,0.68%
6/12/2018 0:00,110.032,110.493,109.953,110.371,33.9,0.31%
6/13/2018 0:00,110.357,110.846,110.269,110.341,-1.6,-0.01%
6/14/2018 0:00,110.331,110.697,109.92,110.627,29.6,0.27%
6/15/2018 0:00,110.617,110.902,110.385,110.662,4.5,0.04%
6/18/2018 0:00,110.664,110.733,110.299,110.547,-11.7,-0.11%
6/19/2018 0:00,110.541,110.577,109.553,110.061,-48,-0.44%
6/20/2018 0:00,110.047,110.448,109.85,110.352,30.5,0.28%
6/21/2018 0:00,110.357,110.761,109.844,109.97,-38.7,-0.35%
6/22/2018 0:00,109.978,110.218,109.802,109.986,0.8,0.01%
6/25/2018 0:00,109.842,110.048,109.369,109.762,-8,-0.07%
6/26/2018 0:00,109.754,110.215,109.366,110.021,26.7,0.24%
6/27/2018 0:00,110.024,110.492,109.687,110.271,24.7,0.22%
6/28/2018 0:00,110.244,110.649,109.965,110.493,24.9,0.23%
6/29/2018 0:00,110.477,110.945,110.376,110.702,22.5,0.20%
7/2/2018 0:00,110.609,111.064,110.555,110.887,27.8,0.25%
7/3/2018 0:00,110.891,111.131,110.504,110.57,-32.1,-0.29%
7/5/2018 0:00,110.449,110.729,110.291,110.66,21.1,0.19%
7/6/2018 0:00,110.577,110.785,110.378,110.475,-10.2,-0.09%
7/9/2018 0:00,110.372,110.9,110.337,110.84,46.8,0.42%
7/10/2018 0:00,110.846,111.353,110.758,111.047,20.1,0.18%
7/11/2018 0:00,110.987,112.177,110.767,112.001,101.4,0.91%
7/12/2018 0:00,111.99,112.627,111.914,112.524,53.4,0.47%
7/13/2018 0:00,112.53,112.801,112.275,112.365,-16.5,-0.15%
7/16/2018 0:00,112.211,112.565,112.19,112.278,6.7,0.06%
7/17/2018 0:00,112.28,112.928,112.224,112.883,60.3,0.53%
7/18/2018 0:00,112.861,113.14,112.711,112.844,-1.7,-0.02%
7/19/2018 0:00,112.851,113.179,112.054,112.465,-38.6,-0.34%
7/20/2018 0:00,112.456,112.622,111.38,111.441,-101.5,-0.91%
7/23/2018 0:00,111.376,111.545,110.752,111.354,-2.2,-0.02%
7/24/2018 0:00,111.331,111.513,110.96,111.205,-12.6,-0.11%
7/25/2018 0:00,111.187,111.383,110.665,110.962,-22.5,-0.20%
7/26/2018 0:00,110.965,111.247,110.586,111.228,26.3,0.24%
7/27/2018 0:00,111.222,111.257,110.799,111.007,-21.5,-0.19%
7/30/2018 0:00,110.929,111.168,110.892,111.064,13.5,0.12%
7/31/2018 0:00,111.007,111.959,110.728,111.865,85.8,0.77%
8/1/2018 0:00,111.813,112.148,111.386,111.71,-10.3,-0.09%
8/2/2018 0:00,111.718,111.737,111.316,111.643,-7.5,-0.07%
8/3/2018 0:00,111.638,111.876,111.1,111.27,-36.8,-0.33%
8/6/2018 0:00,111.211,111.524,111.148,111.397,18.6,0.17%
8/7/2018 0:00,111.4,111.477,110.99,111.376,-2.4,-0.02%
8/8/2018 0:00,111.371,111.442,110.839,110.954,-41.7,-0.38%
8/9/2018 0:00,110.965,111.185,110.709,111.086,12.1,0.11%
8/10/2018 0:00,111.057,111.168,110.507,110.886,-17.1,-0.15%
8/13/2018 0:00,110.425,110.938,110.107,110.716,29.1,0.26%
8/14/2018 0:00,110.658,111.313,110.587,111.145,48.7,0.44%
8/15/2018 0:00,111.14,111.434,110.434,110.743,-39.7,-0.36%
8/16/2018 0:00,110.738,111.124,110.459,110.898,16,0.14%
8/17/2018 0:00,110.889,111.055,110.318,110.521,-36.8,-0.33%
8/20/2018 0:00,110.584,110.684,110.018,110.073,-51.1,-0.46%
8/21/2018 0:00,110.068,110.55,109.776,110.271,20.3,0.18%
8/22/2018 0:00,110.267,110.613,110.024,110.549,28.2,0.26%
8/23/2018 0:00,110.542,111.315,110.517,111.292,75,0.67%
8/24/2018 0:00,111.268,111.49,111.105,111.257,-1.1,-0.01%
8/27/2018 0:00,111.314,111.349,110.937,111.077,-23.7,-0.21%
8/28/2018 0:00,111.068,111.354,110.954,111.194,12.6,0.11%
8/29/2018 0:00,111.188,111.826,111.121,111.678,49,0.44%
8/30/2018 0:00,111.673,111.752,110.95,111.02,-65.3,-0.59%
8/31/2018 0:00,110.967,111.137,110.688,111.107,14,0.13%
9/4/2018 0:00,111.016,111.531,110.899,111.477,46.1,0.41%
9/5/2018 0:00,111.346,111.756,111.31,111.528,18.2,0.16%
9/6/2018 0:00,111.525,111.533,110.522,110.729,-79.6,-0.72%
9/7/2018 0:00,110.745,111.248,110.38,111.035,29,0.26%
9/10/2018 0:00,111.028,111.25,110.852,111.124,9.6,0.09%
9/11/2018 0:00,111.105,111.641,111.062,111.592,48.7,0.44%
9/12/2018 0:00,111.62,111.65,111.113,111.254,-36.6,-0.33%
9/13/2018 0:00,111.247,111.998,111.158,111.922,67.5,0.60%
9/14/2018 0:00,111.918,112.167,111.752,112.041,12.3,0.11%
9/17/2018 0:00,112.011,112.123,111.762,111.859,-15.2,-0.14%
9/18/2018 0:00,111.838,112.389,111.664,112.362,52.4,0.47%
9/19/2018 0:00,112.356,112.448,112.163,112.307,-4.9,-0.04%
9/20/2018 0:00,112.261,112.586,112.044,112.497,23.6,0.21%
9/21/2018 0:00,112.478,112.872,112.424,112.557,7.9,0.07%
